id,name,canopy_percentage,total_area (km2),area_with_canopy (km2)
698,Paşabahçe Mahallesi,38,0.57,0.22
699,Esentepe Mahallesi,38,1.53,0.59
700,Kısıklı Mahallesi,39,1.50,0.58
701,Reşitpaşa Mahallesi,39,2.71,1.05
702,Huzur Mahallesi,39,2.39,0.93
703,Akfırat Mahallesi,39,26.06,10.16
704,Çengelköy Mahallesi,39,1.66,0.65
705,Çubuklu Mahallesi,40,2.35,0.93
706,19 Mayıs Mahallesi,40,1.34,0.53
707,Nişantepe Mahallesi,40,4.17,1.65
708,Nisbetiye Mahallesi,40,1.02,0.41
709,Yassıören Mahallesi,40,41.44,16.46
710,Yayla Mahallesi,40,4.76,1.90
711,Çamlıbahçe Mahallesi,40,0.51,0.20
712,Göksu Mahallesi,40,0.73,0.29
713,Harbiye Mahallesi,40,0.77,0.31
714,Mehmet Akif Mahallesi,40,2.08,0.84
715,Mehmet Akif Ersoy Mahallesi,40,1.08,0.44
716,Ataköy 7-8-9-10. Kısım Mahallesi,40,2.07,0.84
717,Ahmetli Mahallesi,41,6.38,2.59
718,Işıklar Mahallesi,41,10.93,4.45
719,Tozkoparan Mahallesi,41,0.83,0.34
720,Çamlık Mahallesi,41,0.65,0.27
721,Boyalık Mahallesi,41,28.42,11.72
722,Küçük Çamlıca Mahallesi,41,2.44,1.01
723,Kumköy (Kilyos) Mahallesi,41,3.65,1.51
724,Esenkent Mahallesi,42,0.76,0.32
725,Fatih Mahallesi,42,1.51,0.63
726,Aşık Veysel Mahallesi,42,0.84,0.35
727,Subaşı Mahallesi,42,18.80,7.91
728,Kurna Mahallesi,42,31.90,13.46
729,Etiler Mahallesi,42,1.22,0.52
730,Paşa Mahallesi,42,0.74,0.32
731,Göçe Mahallesi,42,5.60,2.38
732,Cihannüma Mahallesi,42,0.27,0.11
733,Altunizade Mahallesi,43,1.76,0.75
734,Ağva Merkez Mahallesi,43,1.74,0.75
735,Levazım Mahallesi,43,0.76,0.33
736,Kurtdoğmuş Mahallesi,43,32.11,13.89
737,Mecidiye Mahallesi,44,0.57,0.25
738,İncirköy Mahallesi,44,1.99,0.87
739,Gümüşsuyu Mahallesi,44,2.46,1.09
740,Abdurrahmangazi Mahallesi,44,2.07,0.92
741,Merkez Mahallesi,44,0.88,0.39
742,Büyükdere Mahallesi,44,1.18,0.52
743,Cankurtaran Mahallesi,44,0.88,0.39
744,Kireçburnu Mahallesi,44,0.65,0.29
745,Zuhuratbaba Mahallesi,45,1.83,0.82
746,Ortaköy Mahallesi,45,0.84,0.38
747,Kültür Mahallesi,45,0.73,0.33
748,Yavuz Selim Mahallesi,45,1.69,0.76
749,Kınalıada Mahallesi,45,1.48,0.67
750,Sultantepe Mahallesi,45,0.52,0.23
751,Arnavutköy Mahallesi,45,0.41,0.19
752,Kulaksız Mahallesi,45,0.28,0.13
753,Emirli Mahallesi,46,14.17,6.46
754,Hacımaşlı Mahallesi,46,30.80,14.14
755,Konaklar Mahallesi,46,2.63,1.21
756,Yeniköy Mahallesi,46,2.15,0.99
757,Kızılcaali Mahallesi,46,11.79,5.44
758,Zeynep Kamil Mahallesi,46,0.38,0.18
759,Kurfallı Mahallesi,46,4.72,2.19
760,Yakacık Çarşı Mahallesi,47,3.98,1.86
761,Meşrutiyet Mahallesi,47,3.30,1.55
762,Gümüşdere Mahallesi,47,9.59,4.51
763,Başıbüyük Mahallesi,47,10.15,4.78
764,Yeni Mahalle,47,0.59,0.28
765,Ulus Mahallesi,47,0.52,0.25
766,Rumelihisarı Mahallesi,47,0.95,0.45
767,Emirgan Mahallesi,48,1.33,0.64
768,Ertuğrul Gazi Mahallesi,48,2.39,1.14
769,Akat Mahallesi,48,1.53,0.73
770,Balaban Mahallesi,48,45.90,22.01
771,Cumhuriyet Mahallesi,48,1.14,0.55
772,Ahmet Yesevi Mahallesi,48,1.69,0.81
773,Göztepe Mahallesi,48,2.60,1.26
774,Yeni Mahalle Mahallesi,48,2.48,1.20
775,Barbaros Mahallesi,49,1.47,0.72
776,Beylerbeyi Mahallesi,49,1.14,0.56
777,Balibey Mahallesi,49,5.46,2.67
778,Burgazada Mahallesi,49,1.61,0.79
779,Darüşşafaka Mahallesi,49,1.43,0.70
780,Karaburun Mahallesi,49,7.42,3.66
781,Çiftlik Mahallesi,49,4.09,2.02
782,Çanakça Mahallesi,50,12.49,6.19
783,Levent Mahallesi,50,1.08,0.54
784,Geredeli Mahallesi,50,14.68,7.30
785,Zübeyde Hanım Mahallesi,50,3.69,1.84
786,Tarabya Mahallesi,50,2.56,1.28
787,Odayeri Mahallesi,51,7.97,4.10
788,Veysel Karani Mahallesi,51,3.16,1.63
789,Çengeldere Mahallesi,52,5.22,2.70
790,Paşaköy Mahallesi,52,27.39,14.17
791,Dağyenice Mahallesi,52,21.89,11.34
792,Maden Mahallesi,53,3.96,2.11
793,Yıldız Mahallesi,53,1.12,0.60
794,Bucaklı Mahallesi,53,16.23,8.66
795,Merkez Mahallesi,54,1.36,0.73
796,Celepköy Mahallesi,54,28.04,15.09
797,Büyük Sinekli Mahallesi,54,22.01,11.88
798,Necip Fazıl Mahallesi,54,3.29,1.78
799,Basınköy Mahallesi,54,1.51,0.82
800,İsaköy Mahallesi,55,4.42,2.42
801,Terkos Mahallesi,55,18.83,10.31
802,Yavuz Selim Mahallesi,55,13.49,7.39
803,Kuruçeşme Mahallesi,55,1.01,0.55
804,Turgut Reis Mahallesi,55,1.79,0.99
805,Sahilköy Mahallesi,56,19.78,11.03
806,Ekşioğlu Mahallesi,56,4.11,2.30
807,Rüzgarlıbahçe Mahallesi,56,3.43,1.92
808,Anadolu Hisarı Mahallesi,56,0.99,0.56
809,Bebek Mahallesi,57,1.24,0.70
810,Alibahadır Mahallesi,57,11.23,6.35
811,Uskumruköy Mahallesi,57,15.99,9.09
812,Merkez Mahallesi,57,10.11,5.78
813,Acarlar Mahallesi,57,5.42,3.11
814,Örnekköy Mahallesi,58,3.70,2.13
815,Kandilli Mahallesi,58,1.21,0.70
816,Bekirli Mahallesi,58,15.61,9.08
817,Kabakça Mahallesi,58,21.23,12.35
818,Örencik Mahallesi,58,24.33,14.18
819,Kısırkaya Mahallesi,59,9.86,5.81
820,Kuzguncuk Mahallesi,60,1.50,0.90
821,Pirinççi Mahallesi,60,27.09,16.28
822,Kuleli Mahallesi,61,0.72,0.44
823,Fatih Sultan Mehmet Mahallesi,61,4.09,2.48
824,Zekeriyaköy Mahallesi,61,11.67,7.08
825,Kanlıca Mahallesi,61,1.31,0.80
826,Ballıca Mahallesi,61,24.22,14.73
827,Hüseyinli Mahallesi,61,13.10,8.01
828,Göçbeyli Mahallesi,62,25.01,15.40
829,Maslak Mahallesi,62,5.04,3.11
830,Çiftlikköy,62,26.59,16.57
831,Ataköy 3-4-11. Kısım Mahallesi,63,0.64,0.40
832,Güngören Mahallesi,63,2.52,1.60
833,Çayırbaşı Mahallesi,64,4.04,2.57
834,Akalan Mahallesi,64,16.70,10.67
835,Anadolufeneri Mahallesi,64,16.90,10.87
836,Hisarbeyli Mahallesi,64,10.27,6.61
837,Yazlık Mahallesi,64,20.50,13.20
838,Ayazağa Mahallesi,65,17.22,11.21
839,Baklacı Mahallesi,65,11.76,7.67
840,Yakacık Yeni Mahallesi,65,7.86,5.14
841,Ormanlı Mahallesi,66,33.02,21.74
842,Sultançiftliği Mahallesi,67,4.25,2.83
843,Mimar Sinan Mahallesi,67,16.87,11.25
844,Koçullu Mahallesi,67,13.75,9.21
845,Çayırdere Mahallesi,67,60.04,40.24
846,Tokatköy Mahallesi,68,4.06,2.76
847,Esenceli Mahallesi,68,19.03,12.93
848,Elmalı Mahallesi,69,4.36,2.99
849,Garipçe Mahallesi,69,3.91,2.69
850,Kurna Mahallesi,69,13.40,9.27
851,Başak Mahallesi,70,12.07,8.40
852,Göllü Mahallesi,70,14.64,10.27
853,Taşdelen Mahallesi,70,3.22,2.26
854,Ömerli Mahallesi,70,47.17,33.14
855,Maden Mahallesi,71,2.52,1.78
856,Boğazköy İstiklal Mahallesi,71,29.23,20.67
857,Görele Mahallesi,71,2.92,2.07
858,Merkez Mahallesi,71,3.56,2.52
859,Şuayipli Mahallesi,71,10.43,7.44
